Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
365,424.07,0.571,0.67,4.8,,,,
366,395.74,0.543,0.63,4.59,,,,
367,408.68,0.561,0.65,4.77,,,,
368,428.36,0.592,0.68,5.35,,,,
369,441.33,0.679,0.72,5.55,,,,
370,395.92,0.59,0.65,4.81,,,,
371,419.55,0.587,0.67,5.04,,,,
372,424.53,0.594,0.68,5.19,,,,
373,376.2,0.492,0.59,3.7,,,,
374,374.0,0.487,0.59,4.09,,,,
375,463.37,0.641,0.73,5.64,437.0,0.65,5.69,fixed
376,439.42,0.662,0.72,5.81,,,,
377,428.37,0.627,0.69,5.55,,,,
378,407.27,0.584,0.66,4.9,,,,
379,396.94,0.583,0.65,4.75,,,,
380,413.51,0.604,0.67,5.11,,,,
381,426.91,0.638,0.7,5.35,,,,
382,425.69,0.63,0.69,5.32,,,,
383,459.57,0.621,0.72,5.57,,,,
384,446.29,0.628,0.71,5.77,,,,
385,443.14,0.612,0.7,5.59,,,,
386,423.38,0.648,0.7,5.26,,,,
387,427.46,0.636,0.7,5.74,,,,
388,424.79,0.613,0.69,5.35,,,,
389,417.32,0.581,0.67,4.82,,,,
390,393.18,0.583,0.64,4.83,,,,
391,453.15,0.646,0.72,5.55,,,,
392,432.7,0.656,0.71,5.48,,,,
393,444.64,0.672,0.72,5.93,,,,
394,436.17,0.627,0.7,5.47,,,,
395,398.43,0.548,0.64,4.47,,,,
396,419.67,0.574,0.67,4.88,,,,
397,425.04,0.595,0.68,5.17,,,,
398,455.8,0.677,0.74,5.99,,,,
399,451.79,0.639,0.72,5.37,,,,
400,419.91,0.594,0.67,5.15,418.01,0.592,5.06,fixed
401,442.21,0.639,0.71,5.55,,,,
402,443.74,0.644,0.71,5.64,,,,
403,425.18,0.598,0.68,5.32,,,,
404,428.44,0.614,0.69,5.33,,,,
405,419.29,0.6,0.68,5.1,,,,
406,431.61,0.648,0.7,5.62,,,,
407,419.79,0.619,0.68,5.39,,,,
408,442.96,0.645,0.71,5.81,,,,
409,416.29,0.613,0.68,5.46,,,,
410,386.32,0.559,0.63,4.59,,,,
411,427.41,0.625,0.69,5.53,,,,
412,433.77,0.64,0.7,5.72,,,,
413,428.38,0.641,0.7,5.54,,,,
414,456.01,0.677,0.74,5.98,,,,
415,437.63,0.673,0.72,5.77,,,,
416,459.29,0.669,0.74,6.0,,,,
417,429.11,0.641,0.7,5.82,,,,
418,426.67,0.655,0.7,5.57,,,,
419,432.96,0.586,0.68,5.26,,,,
420,434.09,0.641,0.7,5.6,,,,
