Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
309,494.56,0.647,0.83,6.0,,,
310,494.8,0.641,0.83,6.0,,,
311,484.3,0.655,0.83,6.0,,,
312,486.34,0.653,0.83,5.99,,,
313,480.22,0.652,0.83,6.0,,,
314,483.37,0.643,0.79,5.62,,,
315,478.75,0.652,0.82,5.99,,,
316,481.27,0.658,0.83,5.99,,,
317,479.63,0.654,0.82,5.98,,,
318,485.59,0.651,0.82,5.93,,,
319,491.57,0.662,0.83,5.96,,,
320,487.23,0.655,0.83,5.98,,,
321,492.92,0.65,0.83,5.98,,,
322,501.47,0.662,0.84,5.99,,,
323,497.3,0.666,0.84,5.98,,,
324,490.42,0.641,0.83,5.99,,,
325,477.36,0.642,0.82,5.99,,,
326,490.9,0.66,0.83,5.99,,,
327,488.08,0.648,0.83,5.98,,,
328,486.17,0.654,0.83,5.99,,,
329,481.73,0.654,0.83,5.97,,,
330,496.65,0.654,0.84,6.0,,,
331,495.9,0.654,0.84,6.0,,,
332,475.07,0.627,0.82,6.0,,,
333,481.47,0.649,0.82,5.98,,,
334,488.05,0.654,0.83,5.97,,,
335,485.96,0.652,0.83,5.99,,,
336,490.26,0.646,0.83,5.99,,,
337,491.49,0.629,0.83,5.99,,,
338,479.47,0.638,0.81,5.9,,,
339,476.84,0.642,0.82,5.94,,,
340,493.94,0.66,0.84,6.0,,,
341,488.19,0.648,0.82,5.95,,,
342,488.84,0.657,0.83,5.98,,,
343,492.03,0.667,0.83,5.97,,,
344,483.92,0.656,0.83,5.98,,,
345,469.75,0.617,0.79,5.79,,,
346,495.9,0.661,0.84,5.99,,,
347,475.55,0.648,0.82,5.95,,,
348,485.63,0.659,0.83,5.99,,,
349,474.75,0.656,0.82,5.99,,,
350,488.88,0.661,0.83,5.99,417.48,0.654,5.98
351,486.18,0.644,0.79,5.61,,,
352,490.62,0.661,0.83,5.97,,,
353,476.85,0.641,0.82,5.98,,,
354,493.14,0.664,0.84,5.99,,,
355,494.72,0.663,0.84,5.98,,,
356,482.24,0.655,0.83,5.99,,,
357,485.01,0.656,0.83,5.99,,,
358,480.81,0.651,0.82,5.98,,,
359,486.03,0.658,0.83,5.98,,,
360,490.58,0.66,0.83,5.99,,,
361,493.73,0.662,0.83,5.99,,,
362,490.55,0.656,0.83,5.91,,,
363,483.47,0.66,0.83,5.99,,,
364,491.73,0.667,0.83,5.98,,,
365,484.72,0.655,0.83,5.99,,,
366,493.18,0.671,0.84,5.99,,,
367,494.8,0.67,0.84,5.99,,,
368,485.42,0.651,0.82,5.86,,,
369,447.58,0.61,0.75,5.42,,,
370,469.62,0.641,0.81,5.97,,,
371,482.96,0.66,0.83,5.97,,,
372,482.83,0.648,0.82,5.99,,,
373,495.54,0.666,0.84,5.98,,,
374,484.86,0.66,0.83,5.99,,,
375,489.54,0.663,0.83,5.96,,,
376,485.95,0.649,0.83,6.0,,,
377,491.34,0.655,0.83,6.0,,,
378,496.23,0.655,0.84,5.99,,,
379,495.1,0.663,0.84,5.99,,,
380,487.29,0.655,0.83,5.97,,,
381,488.42,0.659,0.83,5.98,,,
382,493.43,0.662,0.84,5.99,,,
383,483.78,0.644,0.82,5.96,,,
384,483.96,0.653,0.83,5.99,,,
385,485.74,0.652,0.83,5.98,,,
386,489.84,0.662,0.83,5.98,,,
387,487.89,0.658,0.83,5.98,,,
388,486.13,0.654,0.83,5.95,,,
389,482.26,0.656,0.82,5.96,,,
390,485.44,0.649,0.82,5.93,,,
391,490.44,0.66,0.83,5.97,,,
392,488.84,0.663,0.83,5.99,,,
393,478.91,0.64,0.81,5.83,,,
394,488.41,0.659,0.83,5.94,,,
