Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
306,380.6,0.471,0.59,4.27,,,,
307,368.85,0.499,0.59,4.69,,,,
308,372.9,0.468,0.58,4.02,,,,
309,375.62,0.458,0.58,3.99,,,,
310,371.23,0.47,0.58,4.04,,,,
311,420.03,0.532,0.65,4.97,,,,
312,401.19,0.52,0.62,4.95,,,,
313,372.14,0.437,0.56,3.88,,,,
314,383.41,0.482,0.6,3.93,,,,
315,357.72,0.413,0.54,3.44,,,,
316,377.62,0.487,0.59,4.23,,,,
317,379.93,0.445,0.57,3.99,,,,
318,409.73,0.535,0.64,4.95,,,,
319,394.98,0.51,0.62,4.99,,,,
320,387.91,0.501,0.61,4.7,,,,
321,322.65,0.378,0.49,3.04,,,,
322,337.39,0.392,0.52,3.05,,,,
323,395.36,0.506,0.62,4.73,,,,
324,395.01,0.517,0.62,5.01,,,,
325,388.27,0.423,0.57,3.01,403.42,0.548,4.86,fixed
326,397.35,0.522,0.63,4.75,,,,
327,348.63,0.361,0.51,3.12,,,,
328,349.5,0.439,0.54,3.5,,,,
329,395.83,0.417,0.57,3.03,,,,
330,382.06,0.525,0.61,4.83,,,,
331,375.13,0.53,0.61,4.82,,,,
332,388.77,0.554,0.63,4.81,,,,
333,392.2,0.559,0.64,4.87,,,,
334,397.43,0.572,0.65,4.98,,,,
335,359.07,0.457,0.56,4.23,,,,
336,386.32,0.453,0.58,3.99,,,,
337,382.1,0.45,0.58,4.0,,,,
338,391.0,0.514,0.62,4.67,,,,
339,406.82,0.508,0.62,4.98,,,,
340,401.07,0.549,0.64,5.02,,,,
341,387.66,0.481,0.6,4.0,,,,
342,408.84,0.524,0.63,4.86,,,,
343,382.58,0.446,0.58,3.61,,,,
344,372.73,0.521,0.61,4.43,,,,
345,331.09,0.373,0.5,3.33,,,,
346,345.01,0.402,0.53,3.1,,,,
347,405.36,0.469,0.61,4.1,,,,
348,406.58,0.43,0.59,3.42,,,,
349,421.82,0.613,0.68,5.47,,,,
350,399.04,0.435,0.58,3.56,389.02,0.543,5.02,fixed
351,390.74,0.538,0.63,4.97,,,,
352,398.66,0.45,0.59,4.01,,,,
353,398.79,0.491,0.61,3.95,,,,
354,395.42,0.405,0.57,2.99,,,,
355,407.9,0.512,0.63,4.54,,,,
356,415.86,0.499,0.63,4.59,,,,
357,397.52,0.517,0.62,4.85,,,,
358,397.07,0.493,0.61,3.99,,,,
359,396.6,0.439,0.58,3.65,,,,
360,375.37,0.549,0.62,4.65,,,,
361,389.2,0.482,0.6,3.98,,,,
362,411.48,0.549,0.65,4.81,,,,
363,389.92,0.483,0.6,4.57,,,,
364,431.48,0.583,0.68,5.19,,,,
365,364.22,0.488,0.58,4.25,,,,
366,384.59,0.472,0.6,3.84,,,,
367,403.02,0.481,0.61,4.0,,,,
368,424.27,0.553,0.66,4.94,,,,
369,346.48,0.498,0.58,4.0,,,,
370,380.29,0.552,0.62,4.48,,,,
371,380.68,0.498,0.6,4.13,,,,
372,349.16,0.423,0.54,4.12,,,,
373,345.08,0.458,0.56,3.53,,,,
374,384.57,0.404,0.56,3.18,,,,
375,362.7,0.377,0.53,3.07,335.53,0.325,2.59,fixed
376,371.07,0.391,0.54,3.0,,,,
377,371.86,0.382,0.53,2.74,,,,
378,336.23,0.356,0.49,2.75,,,,
379,365.41,0.519,0.6,4.32,,,,
380,365.45,0.477,0.58,3.73,,,,
381,308.55,0.261,0.41,1.86,,,,
382,332.87,0.316,0.46,2.17,,,,
383,373.18,0.458,0.58,4.16,,,,
384,377.82,0.414,0.56,3.33,,,,
385,348.89,0.368,0.51,2.91,,,,
386,320.5,0.352,0.48,2.56,,,,
387,344.61,0.417,0.54,3.71,,,,
388,352.06,0.36,0.51,2.71,,,,
389,316.88,0.248,0.41,1.76,,,,
390,360.04,0.377,0.52,2.71,,,,
391,362.95,0.446,0.56,3.78,,,,
392,326.45,0.363,0.49,2.9,,,,
393,342.8,0.393,0.52,3.32,,,,
394,319.74,0.304,0.45,2.34,,,,
395,328.24,0.332,0.47,2.6,,,,
396,340.02,0.307,0.46,2.31,,,,
397,364.7,0.435,0.56,4.03,,,,
398,350.79,0.43,0.55,3.8,,,,
399,369.64,0.428,0.56,4.01,,,,
400,307.07,0.194,0.36,1.25,345.06,0.378,3.22,fixed
401,410.05,0.499,0.62,4.64,,,,
402,363.03,0.415,0.55,3.59,,,,
403,355.15,0.449,0.56,3.99,,,,
404,372.37,0.421,0.56,4.03,,,,
405,394.59,0.535,0.63,4.79,,,,
406,394.34,0.465,0.6,4.08,,,,
407,403.05,0.512,0.63,4.83,,,,
408,406.44,0.523,0.63,5.04,,,,
409,385.47,0.409,0.56,3.03,,,,
410,365.47,0.451,0.56,3.89,,,,
411,373.86,0.467,0.58,4.11,,,,
412,395.88,0.43,0.58,3.51,,,,
413,335.53,0.34,0.48,2.31,,,,
414,397.43,0.494,0.61,3.97,,,,
415,387.03,0.477,0.59,4.13,,,,
416,402.25,0.467,0.6,4.11,,,,
417,377.64,0.523,0.61,4.07,,,,
418,384.96,0.443,0.58,3.58,,,,
419,365.48,0.481,0.58,4.2,,,,
420,401.4,0.571,0.65,4.99,,,,
421,379.42,0.458,0.58,3.88,,,,
422,382.36,0.485,0.59,4.29,,,,
423,387.53,0.472,0.59,3.98,,,,
424,356.88,0.463,0.56,3.76,,,,
425,394.52,0.497,0.61,4.22,377.25,0.48,4.11,fixed
426,382.36,0.515,0.61,4.47,,,,
427,371.83,0.534,0.61,4.61,,,,
428,385.28,0.526,0.62,4.23,,,,
429,399.61,0.507,0.62,4.52,,,,
430,412.33,0.523,0.64,4.88,,,,
431,398.75,0.455,0.59,3.99,,,,
432,377.61,0.523,0.61,4.71,,,,
433,355.79,0.4,0.53,3.13,,,,
434,382.32,0.438,0.57,3.65,,,,
435,354.87,0.449,0.55,3.63,,,,
436,434.88,0.545,0.67,4.98,,,,
437,386.26,0.533,0.62,4.9,,,,
438,360.13,0.398,0.53,3.49,,,,
439,309.35,0.402,0.5,2.99,,,,
440,432.53,0.603,0.69,5.43,,,,
441,353.48,0.418,0.54,3.07,,,,
